# pi = 3.14159265358979323846
# pi/2 = 1.5707963267948966192
# w x y z angle
w 3.0 0.0 4.0 0.0
w -3.0 0.0 4.0 0.0
w 1.0 0.0 4.0 0.0
w -1.0 0.0 4.0 0.0
w 4.0 0.0 3.0 1.5707963267948966192
w 4.0 0.0 -3.0 1.5707963267948966192
w 4.0 0.0 1.0 1.5707963267948966192
w 4.0 0.0 -1.0 1.5707963267948966192
w 3.0 0.0 -4.0 3.14159265358979323846
w -3.0 0.0 -4.0 3.14159265358979323846
w 1.0 0.0 -4.0 3.14159265358979323846
w -1.0 0.0 -4.0 3.14159265358979323846
w -4.0 0.0 3.0 -1.5707963267948966192
w -4.0 0.0 -3.0 -1.5707963267948966192
w -4.0 0.0 1.0 -1.5707963267948966192
w -4.0 0.0 -1.0 -1.5707963267948966192
w 3.0 2.0 4.0 0.0
w -3.0 2.0 4.0 0.0
w 1.0 2.0 4.0 0.0
w -1.0 2.0 4.0 0.0
w 4.0 2.0 3.0 1.5707963267948966192
w 4.0 2.0 -3.0 1.5707963267948966192
w 4.0 2.0 1.0 1.5707963267948966192
w 4.0 2.0 -1.0 1.5707963267948966192
w 3.0 2.0 -4.0 3.14159265358979323846
w -3.0 2.0 -4.0 3.14159265358979323846
w 1.0 2.0 -4.0 3.14159265358979323846
w -1.0 2.0 -4.0 3.14159265358979323846
w -4.0 2.0 3.0 -1.5707963267948966192
w -4.0 2.0 -3.0 -1.5707963267948966192
w -4.0 2.0 1.0 -1.5707963267948966192
w -4.0 2.0 -1.0 -1.5707963267948966192
r 1.0 4.0 4.0 -1.5707963267948966192
r 1.0 6.0 2.0 -1.5707963267948966192
r 1.0 4.0 -4.0 1.5707963267948966192
r 1.0 6.0 -2.0 1.5707963267948966192
r 3.0 4.0 4.0 -1.5707963267948966192
r 3.0 6.0 2.0 -1.5707963267948966192
r 3.0 4.0 -4.0 1.5707963267948966192
r 3.0 6.0 -2.0 1.5707963267948966192
r -1.0 4.0 4.0 -1.5707963267948966192
r -1.0 6.0 2.0 -1.5707963267948966192
r -1.0 4.0 -4.0 1.5707963267948966192
r -1.0 6.0 -2.0 1.5707963267948966192
r -3.0 4.0 4.0 -1.5707963267948966192
r -3.0 6.0 2.0 -1.5707963267948966192
r -3.0 4.0 -4.0 1.5707963267948966192
r -3.0 6.0 -2.0 1.5707963267948966192
w 4.0 4.0 1.0 1.5707963267948966192
w 4.0 4.0 -1.0 1.5707963267948966192
w -4.0 4.0 1.0 -1.5707963267948966192
w -4.0 4.0 -1.0 -1.5707963267948966192
tl 4.0 4.0 -3.0 1.5707963267948966192
tr 4.0 4.0 3.0 1.5707963267948966192
tl 4.0 6.0 -1.0 1.5707963267948966192
tr 4.0 6.0 1.0 1.5707963267948966192
tl -4.0 4.0 3.0 -1.5707963267948966192
tr -4.0 4.0 -3.0 -1.5707963267948966192
tl -4.0 6.0 1.0 -1.5707963267948966192
tr -4.0 6.0 -1.0 -1.5707963267948966192
d 4.0 0.0 -2.0 0.0
f 4.0 1.0 2.0 0.0
f 4.0 4.0 1.5 0.0
f 4.0 4.0 -1.5 0.0
f 2.0 1.0 4.0 1.5707963267948966192
f -2.0 1.0 4.0 1.5707963267948966192
f 2.0 1.0 -4.0 -1.5707963267948966192
f -2.0 1.0 -4.0 -1.5707963267948966192
f -4.0 1.0 2.0 0.0
f -4.0 1.0 1.0 0.0
f -4.0 1.0 0.0 0.0
f -4.0 4.0 1.5 0.0
f -4.0 4.0 -1.5 0.0
